state_abbrev,year,earthquake_count,max_magnitude,log_seismic_energy
LA,2022,1,3.0,10.361664540749818
UT,2022,9,3.76,14.08642951436104
TN,2022,2,3.21,11.746159891627215
AZ,2022,3,4.4,15.31522972107178
MO,2022,1,3.16,10.9142715376348
OR,2022,2,4.39,15.179949601548294
WA,2022,7,3.71,13.82810751417379
AR,2022,1,3.14,10.84519528625786
ME,2022,1,3.0,10.361664540749818
SD,2022,1,3.2,11.052424295177753
NE,2022,2,3.8,13.348830638760399
SC,2022,4,3.6,13.353315635285126
GA,2022,1,3.9,13.470124206551713
CO,2022,4,4.7,16.472061874044186
MN,2022,4,3.2,11.970129175237833
TX,2023,123,5.2,18.436025159981437
WY,2023,152,4.1,16.57444168197881
AR,2023,1,3.8,13.124737025326382
WA,2023,6,4.04,14.566527353147324
UT,2023,13,3.86,14.229126755585314
KS,2023,8,4.0,14.228990085974784
NM,2023,96,4.0,16.375720576027554
MT,2023,24,4.2,15.192669402993129
NV,2023,37,4.5,16.339760456524385
CO,2023,25,4.9,17.984340013266745
IL,2023,2,3.6,12.582662674208436
SD,2023,1,3.0,10.361664540749818
NE,2023,2,3.5,12.623866383413079
ID,2023,17,3.9,14.858684333129897
OR,2023,4,3.17,12.108192362501068
CA,2023,8,4.6,16.675449850888985
TN,2023,1,3.26,11.25965398715342
AZ,2023,5,3.8,13.599271350530884
OK,2023,16,4.0,14.63014780634423
OH,2023,1,3.6,12.43396348323163
LA,2023,1,3.3,11.397807430442121
NC,2023,1,3.24,11.190577355698437
KY,2023,1,3.03,10.465277757434205
NY,2023,2,3.8,13.530992643318774
MO,2023,1,3.12,10.776119127955187
ME,2023,1,3.3,11.397807430442121
MN,2023,1,3.0,10.361664540749818
WY,2024,112,3.7,16.130861085447297
NV,2024,75,5.7,19.741468586806107
CA,2024,4,3.5,13.14836673993072
TX,2024,127,5.1,18.84278414886429
NM,2024,69,4.2,16.5795233899633
LA,2024,3,3.6,12.738247821783874
OH,2024,2,3.15,11.347015156238799
MO,2024,4,3.7,13.367556966443505
OK,2024,23,5.06,17.608389740269107
MT,2024,19,4.1,14.88922926686813
UT,2024,19,4.47,16.187374812565935
ID,2024,22,4.9,16.994855225283526
CO,2024,7,4.1,14.34866271652844
KS,2024,2,3.5,12.494831768319697
IL,2024,1,3.1,10.70704306938311
WA,2024,7,3.48,13.527913614646652
NY,2024,1,3.3,11.397807430442121
SD,2024,1,3.7,12.779350084495915
TN,2024,1,3.8,13.124737025326382
NJ,2024,2,4.8,16.600753027408572
FL,2024,1,4.0,13.815511557963774
